Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1674.411893
FDW14,OUT017,1281.084658
NCN55,OUT010,488.3444227
FDQ58,OUT017,2420.621611
FDY38,OUT027,5636.205547
FDH56,OUT046,1819.122901
FDL48,OUT018,596.0563577
FDC48,OUT027,2199.266263
FDN33,OUT045,1425.583603
FDA36,OUT017,3003.60527
FDT44,OUT017,1826.41048
FDQ56,OUT045,1271.793834
NCC54,OUT019,486.9409385
FDU11,OUT049,2022.235418
DRL59,OUT013,772.1779275
FDM24,OUT049,2407.687249
FDI57,OUT045,3170.378406
DRC12,OUT018,2693.859515
NCM42,OUT027,2719.833077
FDA46,OUT010,409.9796858
FDA31,OUT013,2798.004842
NCJ31,OUT035,3975.17841
FDG52,OUT046,734.5341505
NCL19,OUT019,267.730857
FDS10,OUT035,2987.475343
FDX22,OUT010,431.8885467
NCF19,OUT035,771.9539507
NCE06,OUT046,2551.496622
DRC27,OUT046,3694.166293
FDE21,OUT035,1893.599909
NCR42,OUT019,43.28358266
FDX51,OUT018,2679.053065
NCR06,OUT018,434.8393255
FDU31,OUT027,5265.608307
FDU59,OUT017,2554.13321
FDR03,OUT027,5169.164819
FDS49,OUT027,2195.450351
FDD48,OUT010,213.2043853
NCF18,OUT017,2988.441844
NCD43,OUT027,2721.165189
NCD54,OUT018,1877.824888
FDY19,OUT010,214.2050824
NCY54,OUT017,2800.64143
NCL19,OUT018,2141.083925
FDP23,OUT010,455.9535055
FDC26,OUT013,1667.585224
FDR14,OUT010,57.74743624
NCS41,OUT035,3032.748292
FDF41,OUT035,3974.211304
FDU34,OUT046,2022.235418
DRH11,OUT046,836.2281418
FDM03,OUT013,1682.984092
FDS31,OUT017,2929.387637
FDJ20,OUT017,2024.872005
FDV44,OUT027,4920.988275
FDG02,OUT049,2996.103032
FDA09,OUT013,2814.571753
FDT04,OUT013,648.3524515
FDL58,OUT019,555.0266432
FDE52,OUT045,1293.754229
FDW12,OUT035,2467.410844
FDL51,OUT017,3224.190486
NCY42,OUT027,3422.317078
FDR07,OUT017,1483.451656
FDN40,OUT045,2337.731466
FDB35,OUT027,2394.335672
FDA22,OUT017,2554.13321
NCL06,OUT046,3890.520606
FDI35,OUT013,2927.947102
NCW42,OUT045,3542.216376
NCX06,OUT049,2809.706102
FDC37,OUT027,2705.5408
FDZ14,OUT018,1790.674875
DRG49,OUT049,3706.523551
